Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population
93,California,Cities,Fremont,6,6,0,0,0,0,0,6,4,1,1,0,"238,024"
94,California,Cities,Fresno,27,19,3,5,0,0,0,27,5,0,8,14,"531,818"
95,California,Cities,Galt,1,1,0,0,0,0,0,1,0,1,0,0,"26,548"
96,California,Cities,Gardena,2,0,1,1,0,0,0,2,2,0,0,0,"60,423"
97,California,Cities,Garden Grove,1,1,0,0,0,0,0,1,0,0,1,0,"174,661"
98,California,Cities,Glendale,4,4,0,0,0,0,0,4,3,0,0,1,"204,724"
99,California,Cities,Glendora,1,1,0,0,0,0,0,1,1,0,0,0,"52,727"
100,California,Cities,Gridley,1,1,0,0,0,0,0,1,1,0,0,0,"6,612"
101,California,Cities,Hawaiian Gardens,2,2,0,0,0,0,0,2,0,0,1,1,"14,474"
102,California,Cities,Hawthorne,6,3,2,1,0,0,0,6,0,0,2,4,"88,372"
103,California,Cities,Hayward,4,3,1,0,0,0,0,4,1,1,1,1,"162,881"
104,California,Cities,Hemet,1,1,0,0,0,0,0,1,1,0,0,0,"86,047"
105,California,Cities,Hesperia,1,1,0,0,0,0,0,1,0,1,0,0,"95,519"
106,California,Cities,Huntington Beach,4,2,2,0,0,0,0,4,0,1,2,1,"203,428"
107,California,Cities,Huntington Park,4,3,0,1,0,0,0,4,1,0,2,1,"58,922"
108,California,Cities,Imperial Beach,1,1,0,0,0,0,0,1,0,0,0,1,"27,569"
109,California,Cities,Inglewood,1,1,0,0,0,0,0,1,0,1,0,0,"110,726"
110,California,Cities,Irvine,2,1,1,0,0,0,0,2,0,0,1,1,"288,052"
111,California,Cities,Jurupa Valley,1,1,0,0,0,0,0,1,0,0,1,0,"107,605"
112,California,Cities,Laguna Woods,1,0,0,1,0,0,0,1,0,0,1,0,"16,219"
113,California,Cities,Lakeport,1,0,0,1,0,0,0,1,0,1,0,0,"4,763"
114,California,Cities,La Mesa,1,1,0,0,0,0,0,1,1,0,0,0,"60,442"
115,California,Cities,Lancaster,11,9,0,2,0,0,0,11,1,3,4,3,"160,818"
116,California,Cities,Lawndale,1,1,0,0,0,0,0,1,0,0,0,1,"33,121"
117,California,Cities,Livermore,6,3,2,1,0,0,0,6,1,3,1,1,"91,612"
118,California,Cities,Lodi,2,1,1,0,0,0,0,2,0,0,1,1,"66,416"
119,California,Cities,Long Beach,9,6,0,3,0,0,0,9,2,2,3,2,"470,445"
120,California,Cities,Los Angeles,283,136,63,74,0,0,10,282,45,78,89,70,"4,029,741"
121,California,Cities,Los Banos,1,0,0,1,0,0,0,1,1,0,0,0,"39,651"
122,California,Cities,Lynwood,1,1,0,0,0,0,0,1,1,0,0,0,"71,315"
123,California,Cities,Malibu,1,1,0,0,0,0,0,1,0,0,0,1,"12,911"
124,California,Cities,Marysville,1,1,0,0,0,0,0,1,0,1,0,0,"12,459"
125,California,Cities,Menifee,2,2,0,0,0,0,0,2,2,0,0,0,"92,540"
126,California,Cities,Modesto,7,2,1,2,0,2,0,7,1,1,4,1,"215,822"
127,California,Cities,Monterey,2,2,0,0,0,0,0,2,0,1,1,0,"28,744"
128,California,Cities,Moreno Valley,1,1,0,0,0,0,0,1,1,0,0,0,"209,145"
129,California,Cities,Morro Bay,1,0,0,1,0,0,0,1,,1,0,0,"10,692"
130,California,Cities,Mountain View,1,1,0,0,0,0,0,1,0,0,1,0,"82,518"
131,California,Cities,Newark,1,1,0,0,0,0,0,1,0,0,1,0,"48,276"
132,California,Cities,Newport Beach,4,1,0,2,0,0,1,4,3,1,0,0,"86,276"
133,California,Cities,Norwalk,3,3,0,0,0,0,0,3,0,0,2,1,"106,158"
134,California,Cities,Oakland,15,3,5,5,1,0,1,15,3,3,5,4,"430,230"
135,California,Cities,Oceanside,2,2,0,0,0,0,0,2,1,0,0,1,"177,464"
136,California,Cities,Orange,2,2,0,0,0,0,0,2,1,1,0,0,"141,108"
137,California,Cities,Oroville,1,1,0,0,0,0,0,1,0,0,1,0,"19,186"
138,California,Cities,Oxnard,2,0,1,1,0,0,0,2,0,1,1,0,"211,737"
139,California,Cities,Pacifica,3,0,1,2,0,0,0,3,0,0,2,1,"39,339"
140,California,Cities,Palmdale,1,1,0,0,0,0,0,1,0,1,0,0,"158,177"
141,California,Cities,Palm Springs,4,1,0,3,0,0,0,4,0,1,1,2,"48,644"
142,California,Cities,Palo Alto,5,2,2,1,0,0,0,5,2,3,0,0,"67,560"
143,California,Cities,Paramount,2,1,0,1,0,0,0,2,0,1,1,0,"55,023"
