Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
70,California,Cities,Corona,2,1,1,0,0,0,0,2,1,0,1,0,170041,"Corona, California","Corona, California",-117.5664384,33.8752935
71,California,Cities,Cupertino,2,0,1,1,0,0,0,2,1,0,0,1,61078,"Cupertino, California","Cupertino, California",-122.0321823,37.3229978
72,California,Cities,Cypress,2,2,0,0,0,0,0,2,0,2,0,0,49223,"Cypress, California","Cypress, California",-118.0368507,33.8169366
73,California,Cities,Daly City,1,1,0,0,0,0,0,1,0,0,1,0,107928,"Daly City, California","Daly City, California",-122.4702079,37.6879241
74,California,Cities,Davis,14,8,4,1,1,0,0,14,1,7,4,2,69486,"Davis, California","Davis, California",-121.7405167,38.5449065
75,California,Cities,Downey,1,0,0,1,0,0,0,1,0,1,0,0,113277,"Downey, California","Downey, California",-118.1331593,33.9401088
76,California,Cities,Eastvale,1,0,1,0,0,0,0,1,1,0,0,0,64642,"Eastvale, California","Eastvale, California",-117.5848025,33.952463
77,California,Cities,El Cajon,4,3,0,1,0,0,0,4,1,0,2,1,104497,"El Cajon, California","El Cajon, California",-116.9625269,32.7947731
78,California,Cities,El Cerrito,2,1,1,0,0,0,0,2,0,2,0,0,25793,"El Cerrito, California","El Cerrito, California",-122.310765,37.9161326
79,California,Cities,Elk Grove,4,2,0,2,0,0,0,4,0,1,3,0,174651,"Elk Grove, California","Elk Grove, California",-121.3716178,38.4087993
80,California,Cities,El Monte,5,5,0,0,0,0,0,5,2,2,1,0,116464,"El Monte, California","El Monte, California",-118.0275667,34.0686206
81,California,Cities,El Segundo,1,1,0,0,0,0,0,1,0,0,1,0,16881,"El Segundo, California","El Segundo, California",-118.4164652,33.9191799
82,California,Cities,Encinitas,3,0,3,0,0,0,0,3,2,0,0,1,63700,"Encinitas, California","Encinitas, California",-117.2919818,33.0369867
83,California,Cities,Escalon,1,1,0,0,0,0,0,1,0,0,0,1,7653,"Escalon, California","Escalon, California",-120.9966033,37.7974273
84,California,Cities,Escondido,2,2,0,0,0,0,0,2,1,1,0,0,153073,"Escondido, California","Escondido, California",-117.086421,33.1192068
85,California,Cities,Eureka,1,0,0,1,0,0,0,1,0,1,0,0,27174,"Eureka, California","Eureka, California",-124.1636729,40.8020712
86,California,Cities,Fairfield,2,1,0,1,0,0,0,2,0,1,0,1,117883,"Fairfield, California","Fairfield, California",-122.0405151,38.2491956
87,California,Cities,Fillmore,1,0,0,1,0,0,0,1,0,0,1,0,15928,"Fillmore, California","Fillmore, California",-118.918154,34.3991639
88,California,Cities,Folsom,1,1,0,0,0,0,0,1,1,0,0,0,78916,"Folsom, California","Folsom, California",-121.1760583,38.6779591
89,California,Cities,Fontana,1,1,0,0,0,0,0,1,0,0,1,0,213964,"Fontana, California","Fontana, California",-117.435048,34.0922335
90,California,Cities,Fort Bragg,1,0,1,0,0,0,0,1,1,0,0,0,7317,"Fort Bragg, California","Fort Bragg, California",-123.8052935,39.445723
91,California,Cities,Foster City,2,0,2,0,0,0,0,2,0,0,0,2,34993,"Foster City, California","Foster City, California",-122.2710788,37.5585465
92,California,Cities,Fountain Valley,1,0,0,1,0,0,0,1,1,0,0,0,56433,"Fountain Valley, California","Fountain Valley, California",-117.9544069,33.7090212
93,California,Cities,Fremont,6,6,0,0,0,0,0,6,4,1,1,0,238024,"Fremont, California","Fremont, California",-121.988583,37.5485396
94,California,Cities,Fresno,27,19,3,5,0,0,0,27,5,0,8,14,531818,"Fresno, California","Fresno, California",-119.7871247,36.7377981
95,California,Cities,Galt,1,1,0,0,0,0,0,1,0,1,0,0,26548,"Galt, California","Galt, California",-121.2999485,38.2546373
96,California,Cities,Gardena,2,0,1,1,0,0,0,2,2,0,0,0,60423,"Gardena, California","Gardena, California",-118.3089624,33.8883487
97,California,Cities,Garden Grove,1,1,0,0,0,0,0,1,0,0,1,0,174661,"Garden Grove, California","Garden Grove, California",-117.9379952,33.7742692
98,California,Cities,Glendale,4,4,0,0,0,0,0,4,3,0,0,1,204724,"Glendale, California","Glendale, California",-118.255075,34.1425078
99,California,Cities,Glendora,1,1,0,0,0,0,0,1,1,0,0,0,52727,"Glendora, California","Glendora, California",-117.865339,34.1361187
100,California,Cities,Gridley,1,1,0,0,0,0,0,1,1,0,0,0,6612,"Gridley, California","Gridley, California",-121.6935833,39.3637773
101,California,Cities,Hawaiian Gardens,2,2,0,0,0,0,0,2,0,0,1,1,14474,"Hawaiian Gardens, California","Hawaiian Gardens, California",-118.0728424,33.8314045
102,California,Cities,Hawthorne,6,3,2,1,0,0,0,6,0,0,2,4,88372,"Hawthorne, California","Hawthorne, California",-118.3525748,33.9164032
103,California,Cities,Hayward,4,3,1,0,0,0,0,4,1,1,1,1,162881,"Hayward, California","Hayward, California",-122.0809964,37.6687665
104,California,Cities,Hemet,1,1,0,0,0,0,0,1,1,0,0,0,86047,"Hemet, California","Hemet, California",-116.9719684,33.7475203
105,California,Cities,Hesperia,1,1,0,0,0,0,0,1,0,1,0,0,95519,"Hesperia, California","Hesperia, California",-117.3008784,34.4263886
106,California,Cities,Huntington Beach,4,2,2,0,0,0,0,4,0,1,2,1,203428,"Huntington Beach, California","Huntington Beach, California",-117.9988026,33.6594835
107,California,Cities,Huntington Park,4,3,0,1,0,0,0,4,1,0,2,1,58922,"Huntington Park, California","Huntington Park, California",-118.2250725,33.9816812
108,California,Cities,Imperial Beach,1,1,0,0,0,0,0,1,0,0,0,1,27569,"Imperial Beach, California","Imperial Beach, California",-117.1130849,32.5839444
109,California,Cities,Inglewood,1,1,0,0,0,0,0,1,0,1,0,0,110726,"Inglewood, California","Inglewood, California",-118.3531311,33.9616801
110,California,Cities,Irvine,2,1,1,0,0,0,0,2,0,0,1,1,288052,"Irvine, California","Irvine, California",-117.8265049,33.6845673
111,California,Cities,Jurupa Valley,1,1,0,0,0,0,0,1,0,0,1,0,107605,"Jurupa Valley, California","Jurupa Valley, California",-117.4854802,33.9971974
112,California,Cities,Laguna Woods,1,0,0,1,0,0,0,1,0,0,1,0,16219,"Laguna Woods, California","Laguna Woods, California",-117.7251162,33.6101702
113,California,Cities,Lakeport,1,0,0,1,0,0,0,1,0,1,0,0,4763,"Lakeport, California","Lakeport, California",-122.9158293,39.0429506
114,California,Cities,La Mesa,1,1,0,0,0,0,0,1,1,0,0,0,60442,"La Mesa, California","La Mesa, California",-117.0230839,32.7678287
115,California,Cities,Lancaster,11,9,0,2,0,0,0,11,1,3,4,3,160818,"Lancaster, California","Lancaster, California",-118.1541632,34.6867846
116,California,Cities,Lawndale,1,1,0,0,0,0,0,1,0,0,0,1,33121,"Lawndale, California","Lawndale, California",-118.3525744,33.887237
117,California,Cities,Livermore,6,3,2,1,0,0,0,6,1,3,1,1,91612,"Livermore, California","Livermore, California",-121.7684732,37.6818688
118,California,Cities,Lodi,2,1,1,0,0,0,0,2,0,0,1,1,66416,"Lodi, California","Lodi, California",-121.2722194,38.1341477
119,California,Cities,Long Beach,9,6,0,3,0,0,0,9,2,2,3,2,470445,"Long Beach, California","Long Beach, California",-118.1937395,33.7700504
120,California,Cities,Los Angeles,283,136,63,74,0,0,10,282,45,78,89,70,4029741,"Los Angeles, California","Los Angeles, California",-118.2436849,34.0522342
121,California,Cities,Los Banos,1,0,0,1,0,0,0,1,1,0,0,0,39651,"Los Banos, California","Los Banos, California",-120.8499151,37.0582786
122,California,Cities,Lynwood,1,1,0,0,0,0,0,1,1,0,0,0,71315,"Lynwood, California","Lynwood, California",-118.2114603,33.930293
123,California,Cities,Malibu,1,1,0,0,0,0,0,1,0,0,0,1,12911,"Malibu, California","Malibu, California",-118.7797571,34.0259216
124,California,Cities,Marysville,1,1,0,0,0,0,0,1,0,1,0,0,12459,"Marysville, California","Marysville, California",-121.5913547,39.1457253
