State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,lon,lat
California,Cities,Cupertino,3,2,1,0,0,0,0,3,0,0,3,0,60948,"Cupertino, California",-122.0321823,37.3229978
California,Cities,Danville,1,0,1,0,0,0,0,1,1,0,0,0,44897,"Danville, California",-121.9999606,37.8215929
California,Cities,Davis,8,5,1,1,0,0,1,8,2,0,1,5,68087,"Davis, California",-121.7405167,38.5449065
California,Cities,Desert Hot Springs,1,0,0,1,0,0,0,1,0,1,0,0,28573,"Desert Hot Springs, California",-116.5016784,33.961124
California,Cities,Downey,1,1,0,0,0,0,0,1,0,1,0,0,114704,"Downey, California",-118.1331593,33.9401088
California,Cities,East Palo Alto,1,0,0,1,0,0,0,1,0,0,0,1,29957,"East Palo Alto, California",-122.1410751,37.4688273
California,Cities,Eastvale,1,0,1,0,0,0,0,1,0,1,0,0,60115,"Eastvale, California",-117.5848025,33.952463
California,Cities,Elk Grove,1,1,0,0,0,0,0,1,1,0,0,0,169742,"Elk Grove, California",-121.3716178,38.4087993
California,Cities,El Segundo,2,2,0,0,0,0,0,2,1,0,1,0,17113,"El Segundo, California",-118.4164652,33.9191799
California,Cities,Encinitas,1,1,0,0,0,0,0,1,0,0,0,1,63597,"Encinitas, California",-117.2919818,33.0369867
California,Cities,Escondido,1,1,0,0,0,0,0,1,0,1,0,0,152897,"Escondido, California",-117.086421,33.1192068
California,Cities,Fairfield,3,1,1,1,0,0,0,3,2,0,1,0,114521,"Fairfield, California",-122.0399663,38.24935809999999
California,Cities,Farmersville,1,0,1,0,0,0,0,1,0,0,1,0,10812,"Farmersville, California",-119.2067767,36.2977283
California,Cities,Folsom,1,0,1,0,0,0,0,1,0,1,0,0,77245,"Folsom, California",-121.1760583,38.6779591
California,Cities,Fort Bragg,3,1,1,1,0,0,0,3,0,2,1,0,7292,"Fort Bragg, California",NA,NA
California,Cities,Fremont,1,1,0,0,0,0,0,1,1,0,0,0,235881,"Fremont, California",-121.9885719,37.5482697
California,Cities,Fresno,13,7,3,3,0,0,0,13,3,3,4,3,524796,"Fresno, California",-119.7871247,36.7377981
California,Cities,Fullerton,2,1,0,1,0,0,0,2,1,0,0,1,141968,"Fullerton, California",-117.9242123,33.8703645
California,Cities,Garden Grove,2,1,1,0,0,0,0,2,1,0,0,1,176230,"Garden Grove, California",-117.9379952,33.7742692
California,Cities,Glendale,2,1,1,0,0,0,0,2,0,1,0,1,202903,"Glendale, California",-118.255075,34.1425078
California,Cities,Hanford,1,0,1,0,0,0,0,1,0,1,0,0,55973,"Hanford, California",NA,NA
California,Cities,Hawaiian Gardens,1,0,0,0,0,0,1,1,0,1,0,0,14654,"Hawaiian Gardens, California",-118.0728424,33.8314045
California,Cities,Hawthorne,1,0,1,0,0,0,0,1,0,0,0,1,89299,"Hawthorne, California",-118.3525748,33.9164032
California,Cities,Hayward,2,1,1,0,0,0,0,2,0,0,1,1,161122,"Hayward, California",NA,NA
California,Cities,Highland,1,1,0,0,0,0,0,1,0,0,1,0,55184,"Highland, California",-117.2086513,34.1283442
California,Cities,Hollister,1,0,0,1,0,0,0,1,0,0,1,0,37953,"Hollister, California",NA,NA
California,Cities,Huntington Beach,6,3,3,0,0,0,0,6,1,1,3,1,204071,"Huntington Beach, California",-117.9988026,33.6594835
California,Cities,Huntington Park,1,0,0,1,0,0,0,1,1,0,0,0,59692,"Huntington Park, California",-118.2250725,33.9816812
California,Cities,Irvine,2,2,0,0,0,0,0,2,1,0,0,1,266663,"Irvine, California",-117.8265049,33.6845673
California,Cities,Jurupa Valley,1,1,0,0,0,0,0,1,0,1,0,0,101316,"Jurupa Valley, California",-117.4854802,33.9971974
California,Cities,Kingsburg,1,1,0,0,0,0,0,1,1,0,0,0,11905,"Kingsburg, California",-119.5540175,36.5138398
California,Cities,Laguna Beach,1,1,0,0,0,0,0,1,0,0,0,1,23486,"Laguna Beach, California",-117.7853568,33.5427189
California,Cities,La Habra,1,1,0,0,0,0,0,1,0,1,0,0,62483,"La Habra, California",-117.946137,33.9318591
California,Cities,Lake Elsinore,2,1,0,1,0,0,0,2,1,1,0,0,63907,"Lake Elsinore, California",NA,NA
California,Cities,Lakewood,4,3,0,1,0,0,0,4,2,0,1,1,81921,"Lakewood, California",-118.1339563,33.8536269
California,Cities,La Mesa,3,2,1,0,0,0,0,3,0,0,1,2,60681,"La Mesa, California",NA,NA
California,Cities,La Mirada,2,0,2,0,0,0,0,2,0,2,0,0,49715,"La Mirada, California",-118.0120086,33.9172357
California,Cities,Lancaster,8,5,0,2,0,0,1,8,1,4,1,2,161963,"Lancaster, California",-118.1541632,34.6867846
California,Cities,La Puente,1,0,0,1,0,0,0,1,1,0,0,0,40928,"La Puente, California",NA,NA
California,Cities,Loma Linda,1,1,0,0,0,0,0,1,0,1,0,0,24190,"Loma Linda, California",-117.2611527,34.0483474
California,Cities,Long Beach,8,2,2,3,0,0,1,8,2,0,3,3,476476,"Long Beach, California",NA,NA
California,Cities,Los Angeles,227,112,43,58,0,1,13,227,55,56,52,64,4007905,"Los Angeles, California",-118.2436849,34.0522342
California,Cities,Malibu,2,2,0,0,0,0,0,2,1,0,0,1,13030,"Malibu, California",-118.7797571,34.0259216
California,Cities,Mammoth Lakes,1,1,0,0,0,0,0,1,0,1,0,0,7891,"Mammoth Lakes, California",-118.972079,37.648546
California,Cities,Manteca,5,5,0,0,0,0,0,5,1,1,3,0,77104,"Manteca, California",-121.2160526,37.7974273
California,Cities,Merced,2,0,0,1,0,0,1,2,0,0,1,1,83106,"Merced, California",-120.4829677,37.3021632
California,Cities,Modesto,11,6,4,1,0,0,0,11,2,4,2,3,212880,"Modesto, California",-120.9968782,37.63909719999999
California,Cities,Montclair,2,1,1,0,0,0,0,2,0,1,0,1,39085,"Montclair, California",-117.6897776,34.0775104
California,Cities,Monterey,1,1,0,0,0,0,0,1,0,0,0,1,28506,"Monterey, California",-121.8946761,36.6002378
California,Cities,Mountain View,1,0,1,0,0,0,0,1,1,0,0,0,81726,"Mountain View, California",-122.0838511,37.3860517
California,Cities,Murrieta,1,0,0,0,0,1,0,1,0,0,0,1,111043,"Murrieta, California",-117.2139232,33.5539143
California,Cities,Napa,1,0,0,1,0,0,0,1,0,0,0,1,81115,"Napa, California",-122.286865,38.2975381
California,Cities,National City,1,1,0,0,0,0,0,1,1,0,0,0,61550,"National City, California",-117.0991967,32.6781085
California,Cities,Newark,1,1,0,0,0,0,0,1,0,1,0,0,45893,"Newark, California",-122.0402399,37.5296593
California,Cities,Norco,2,2,0,0,0,0,0,2,1,0,0,1,26132,"Norco, California",-117.548661,33.9311257
California,Cities,Norwalk,1,1,0,0,0,0,0,1,0,0,1,0,107453,"Norwalk, California",-118.081733,33.9022367
California,Cities,Novato,2,1,1,0,0,0,0,2,0,0,0,2,56263,"Novato, California",-122.5697032,38.1074198
California,Cities,Oakland,9,3,3,3,0,0,0,9,3,2,2,2,424998,"Oakland, California",-122.2711137,37.8043637
California,Cities,Oceanside,7,2,2,3,0,0,0,7,1,3,1,2,177340,"Oceanside, California",-117.3794834,33.1958696
California,Cities,Orange,1,1,0,0,0,0,0,1,0,1,0,0,141841,"Orange, California",-117.8531007,33.7879139
California,Cities,Oxnard,6,4,1,1,0,0,0,6,2,1,1,2,209048,"Oxnard, California",-119.1770516,34.1975048
California,Cities,Pacific Grove,1,1,0,0,0,0,0,1,0,1,0,0,15795,"Pacific Grove, California",-121.9166215,36.6177374
California,Cities,Palmdale,8,6,2,0,0,0,0,8,5,0,2,1,159441,"Palmdale, California",-118.1164613,34.5794343
California,Cities,Palm Springs,3,3,0,0,0,0,0,3,1,2,0,0,47909,"Palm Springs, California",-116.5452921,33.8302961
California,Cities,Palo Alto,4,3,1,0,0,0,0,4,1,2,1,0,67317,"Palo Alto, California",-122.1430195,37.4418834
California,Cities,Paradise,1,1,0,0,0,0,0,1,0,1,0,0,26532,"Paradise, California",-121.6219177,39.7596061
California,Cities,Parlier,1,0,0,1,0,0,0,1,0,1,0,0,15262,"Parlier, California",-119.5270734,36.6116174
California,Cities,Pasadena,2,1,1,0,0,0,0,2,1,0,1,0,143288,"Pasadena, California",-118.1445155,34.1477849
California,Cities,Perris,1,0,1,0,0,0,0,1,0,0,0,1,76260,"Perris, California",-117.2286478,33.7825194
California,Cities,Petaluma,1,1,0,0,0,0,0,1,1,0,0,0,60933,"Petaluma, California",-122.6366524,38.232417
California,Cities,Placentia,1,1,0,0,0,0,0,1,0,1,0,0,52800,"Placentia, California",-117.8627548,33.8710729
California,Cities,Pomona,5,2,1,2,0,0,0,5,2,1,2,0,154109,"Pomona, California",NA,NA
California,Cities,Poway,1,0,0,1,0,0,0,1,0,0,0,1,50606,"Poway, California",-117.0358646,32.9628232
California,Cities,Rancho Cucamonga,4,4,0,0,0,0,0,4,0,2,1,1,177089,"Rancho Cucamonga, California",-117.5931084,34.10639889999999
California,Cities,Rancho Palos Verdes,1,1,0,0,0,0,0,1,0,0,1,0,42947,"Rancho Palos Verdes, California",NA,NA
California,Cities,Redding,10,7,1,2,0,0,0,10,0,1,7,2,91918,"Redding, California",-122.3916754,40.5865396
California,Cities,Redlands,6,4,0,2,0,0,0,6,1,2,3,0,71485,"Redlands, California",-117.1825381,34.0555693
California,Cities,Redwood City,4,2,0,2,0,0,0,4,0,0,1,3,87046,"Redwood City, California",-122.2363548,37.48521520000001
California,Cities,Rialto,1,1,0,0,0,0,0,1,0,0,0,1,103893,"Rialto, California",NA,NA
California,Cities,Richmond,4,4,0,0,0,0,0,4,0,1,1,2,110868,"Richmond, California",NA,NA
California,Cities,Ridgecrest,1,1,0,0,0,0,0,1,0,1,0,0,29003,"Ridgecrest, California",-117.6708966,35.6224561
California,Cities,Riverside,8,5,1,2,0,0,0,8,2,2,2,2,325896,"Riverside, California",-117.3754942,33.9806005
California,Cities,Roseville,11,7,4,0,0,0,0,11,0,1,4,6,132566,"Roseville, California",-121.2880059,38.7521235
California,Cities,Sacramento,6,2,0,4,0,0,0,6,4,1,1,0,495471,"Sacramento, California",NA,NA
California,Cities,Salinas,1,0,1,0,0,0,0,1,0,1,0,0,158729,"Salinas, California",NA,NA
California,Cities,San Bernardino2,7,6,0,1,0,0,0,6,0,1,4,1,217303,"San Bernardino2, California",-117.2897652,34.1083449
California,Cities,San Bruno,2,2,0,0,0,0,0,2,0,0,1,1,43613,"San Bruno, California",-122.4110835,37.6304904
