"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"California","Cities","Pacific Grove",1,1,0,0,0,0,0,1,0,1,0,0,"15,795"
"California","Cities","Palmdale",8,6,2,0,0,0,0,8,5,0,2,1,"159,441"
"California","Cities","Palm Springs",3,3,0,0,0,0,0,3,1,2,0,0,"47,909"
"California","Cities","Palo Alto",4,3,1,0,0,0,0,4,1,2,1,0,"67,317"
"California","Cities","Paradise",1,1,0,0,0,0,0,1,0,1,0,0,"26,532"
"California","Cities","Parlier",1,0,0,1,0,0,0,1,0,1,0,0,"15,262"
"California","Cities","Pasadena",2,1,1,0,0,0,0,2,1,0,1,0,"143,288"
"California","Cities","Perris",1,0,1,0,0,0,0,1,0,0,0,1,"76,260"
"California","Cities","Petaluma",1,1,0,0,0,0,0,1,1,0,0,0,"60,933"
"California","Cities","Placentia",1,1,0,0,0,0,0,1,0,1,0,0,"52,800"
"California","Cities","Pomona",5,2,1,2,0,0,0,5,2,1,2,0,"154,109"
"California","Cities","Poway",1,0,0,1,0,0,0,1,0,0,0,1,"50,606"
"California","Cities","Rancho Cucamonga",4,4,0,0,0,0,0,4,0,2,1,1,"177,089"
"California","Cities","Rancho Palos Verdes",1,1,0,0,0,0,0,1,0,0,1,0,"42,947"
"California","Cities","Redding",10,7,1,2,0,0,0,10,0,1,7,2,"91,918"
"California","Cities","Redlands",6,4,0,2,0,0,0,6,1,2,3,0,"71,485"
"California","Cities","Redwood City",4,2,0,2,0,0,0,4,0,0,1,3,"87,046"
"California","Cities","Rialto",1,1,0,0,0,0,0,1,0,0,0,1,"103,893"
"California","Cities","Richmond",4,4,0,0,0,0,0,4,0,1,1,2,"110,868"
"California","Cities","Ridgecrest",1,1,0,0,0,0,0,1,0,1,0,0,"29,003"
"California","Cities","Riverside",8,5,1,2,0,0,0,8,2,2,2,2,"325,896"
"California","Cities","Roseville",11,7,4,0,0,0,0,11,0,1,4,6,"132,566"
"California","Cities","Sacramento",6,2,0,4,0,0,0,6,4,1,1,0,"495,471"
"California","Cities","Salinas",1,0,1,0,0,0,0,1,0,1,0,0,"158,729"
"California","Cities","San Bernardino2",7,6,0,1,0,0,0,6,0,1,4,1,"217,303"
"California","Cities","San Bruno",2,2,0,0,0,0,0,2,0,0,1,1,"43,613"
"California","Cities","San Diego",35,16,7,12,0,0,0,35,7,10,6,12,"1,413,414"
"California","Cities","San Fernando",2,0,1,1,0,0,0,2,1,0,0,1,"25,194"
"California","Cities","San Francisco2",37,11,7,14,0,1,4,36,9,12,10,5,"871,155"
"California","Cities","San Jose",19,10,7,2,0,0,0,19,5,1,4,9,"1,041,844"
"California","Cities","San Leandro",22,15,3,3,1,0,0,22,4,5,5,8,"91,870"
"California","Cities","San Luis Obispo",2,2,0,0,0,0,0,2,2,0,0,0,"47,774"
"California","Cities","San Marcos",2,1,1,0,0,0,0,2,1,0,0,1,"94,840"
"California","Cities","San Mateo",2,0,1,1,0,0,0,2,0,1,0,1,"104,802"
"California","Cities","San Rafael",1,1,0,0,0,0,0,1,0,0,0,1,"59,435"
"California","Cities","San Ramon",4,4,0,0,0,0,0,4,0,0,0,4,"76,901"
"California","Cities","Santa Ana",6,2,3,1,0,0,0,6,3,2,0,1,"337,419"
"California","Cities","Santa Clarita",10,6,4,0,0,0,0,10,3,1,2,4,"219,611"
"California","Cities","Santa Cruz",12,7,3,2,0,0,0,12,4,1,2,5,"64,969"
"California","Cities","Santa Monica",3,1,1,1,0,0,0,3,0,2,1,0,"93,921"
"California","Cities","Santa Rosa",1,0,0,1,0,0,0,1,1,0,0,0,"176,383"
